city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
grootfontein,-19.5667,18.1167,292.91,292.91,22,22,3.6,NA,1635205920
albany,42.6001,-73.9662,287.45,283.37,91,100,1.95,US,1635205920
gizo,-8.103,156.8419,302.43,302.43,70,23,2.99,SB,1635205199
paso de los toros,-32.8167,-56.5167,297.34,297.34,59,0,4.42,UY,1635205921
general pico,-35.6566,-63.7568,294.69,294.69,23,0,2.23,AR,1635205921
malanje,-9.5402,16.341,290.87,290.87,94,87,0.67,AO,1635205847
ribeira grande,38.5167,-28.7,293.56,293.56,76,44,9.13,PT,1635205922
chulman,56.8479,124.9104,269.5,269.5,96,93,0.92,RU,1635205923
carnarvon,-24.8667,113.6333,292.19,292.19,63,75,7.2,AU,1635205628
marienburg,54.0359,19.0266,280.4,279.85,78,100,3.45,PL,1635205660
qaanaaq,77.484,-69.3632,257.16,257.16,62,68,6.75,GL,1635205687
thompson,55.7435,-97.8558,276.24,276.24,75,40,1.54,CA,1635205791
hithadhoo,-0.6,73.0833,301.46,301.46,69,82,7.37,MV,1635205357
adrar,20.5022,-10.0711,300.27,300.27,17,89,6.22,MR,1635205924
lorengau,-2.0226,147.2712,302.62,302.62,66,45,2.58,PG,1635205925
itarema,-2.9248,-39.9167,299.86,299.86,75,2,7.72,BR,1635205925
ilam,26.9167,87.9167,287.03,287.03,86,0,2.62,NP,1635205926
pevek,69.7008,170.3133,255.27,255.27,94,100,1.9,RU,1635205825
bluff,-46.6,168.3333,285.81,285.81,87,79,4.02,NZ,1635205824
elat,29.5581,34.9482,294.63,294.63,56,0,3.3,IL,1635205927
fairbanks,64.8378,-147.7164,272.65,271.21,91,90,0.0,US,1635205202
makrana,27.05,74.7167,292.18,292.18,64,0,2.45,IN,1635205928
miraflores,19.2167,-98.8083,293.17,292.52,81,77,1.81,MX,1635205695
mandera,3.9366,41.867,300.48,300.48,63,86,6.45,KE,1635205357
irtyshskiy,58.3333,68.1333,272.64,272.64,95,100,7.14,RU,1635205929
grand-lahou,5.1367,-5.0242,298.28,298.28,89,100,4.08,CI,1635205929
kathmandu,27.7167,85.3167,289.27,289.27,88,75,1.54,NP,1635205717
saint george,37.1041,-113.5841,299.41,296.73,29,1,2.24,US,1635205862
kinshasa,-4.3246,15.3215,298.33,297.36,88,20,0.51,CD,1635205756
cidreira,-30.1811,-50.2056,291.57,291.57,80,0,4.36,BR,1635205930
taitung,22.7583,121.1444,297.3,297.3,69,75,3.09,TW,1635205930
kapaa,22.0752,-159.319,299.92,299.29,83,90,1.79,US,1635205931
saldanha,-33.0117,17.9442,290.18,290.18,68,70,4.98,ZA,1635205251
cayenne,4.9333,-52.3333,298.76,298.76,90,75,1.79,GF,1635205931
khani,41.9563,42.9566,274.91,274.91,97,100,0.12,GE,1635205932
alofi,-19.0595,-169.9187,301.09,301.09,65,75,6.69,NU,1635205932
puerto ayora,-0.7393,-90.3518,293.46,293.46,93,88,2.24,EC,1635205816
acapulco,16.8634,-99.8901,301.05,301.05,83,90,0.0,MX,1635205393
vaini,-21.2,-175.2,300.24,300.24,74,20,5.14,TO,1635205933
hilo,19.7297,-155.09,301.0,299.31,76,40,5.66,US,1635205773
vaitape,-16.5167,-151.75,296.72,296.72,90,99,5.26,PF,1635205934
petropavlovsk-kamchatskiy,53.0452,158.6483,276.48,276.48,70,75,1.0,RU,1635205935
bertoua,4.5833,13.6833,293.23,293.23,96,86,0.56,CM,1635205415
alghero,40.5589,8.3181,285.2,285.2,94,0,1.03,IT,1635205935
bredasdorp,-34.5322,20.0403,287.77,287.77,88,40,3.6,ZA,1635205765
hambantota,6.1241,81.1185,299.21,299.21,82,99,4.57,LK,1635205805
terrace,54.5163,-128.6035,284.1,284.1,76,75,1.03,CA,1635205933
progreso,21.2833,-89.6667,302.65,302.65,82,73,4.68,MX,1635205937
ulagan,50.6321,87.9563,272.92,272.92,73,31,1.46,RU,1635205938
plouzane,48.3833,-4.6167,287.18,286.67,94,75,3.6,FR,1635205938
olafsvik,64.8945,-23.7142,275.21,275.21,70,50,2.63,IS,1635205346
huarmey,-10.0681,-78.1522,291.09,291.09,82,11,4.01,PE,1635205939
santa isabel do rio negro,-0.4139,-65.0192,298.17,298.17,92,99,0.77,BR,1635205939
liwale,-9.7667,37.9333,294.81,294.81,87,34,2.29,TZ,1635205940
asfi,32.2994,-9.2372,292.65,292.65,89,66,4.99,MA,1635205941
airai,-8.9266,125.4092,295.16,295.16,44,65,1.23,TL,1635205941
nikolskoye,59.7035,30.7861,280.38,279.77,90,100,4.14,RU,1635205825
yellowknife,62.456,-114.3525,278.94,278.64,94,90,4.12,CA,1635205942
east london,-33.0153,27.9116,290.89,290.89,84,93,4.73,ZA,1635205688
sitka,57.0531,-135.33,282.09,282.09,71,75,0.0,US,1635205229
zyryanka,65.75,150.85,257.9,257.9,86,84,2.1,RU,1635205943
mar del plata,-38.0023,-57.5575,288.16,287.82,64,0,0.45,AR,1635205876
tuktoyaktuk,69.4541,-133.0374,272.15,272.15,100,90,3.6,CA,1635205944
marsaxlokk,35.8419,14.5431,292.49,292.49,94,90,7.72,MT,1635205944
dikson,73.5069,80.5464,263.04,263.04,83,100,7.22,RU,1635205944
